Polarization,Polarization_All,Churn_Rate,Revenue,Avg_Frustration,Active_Users,Mean_Trust,Ingroup_Trust,Outgroup_Trust,Trust_Segregation,Opinion_Clustering,Seed,Condition,Run
0.9784872093978504,0.9890272529544442,0.188,162.4,0.9753694581280788,406.0,0.5,0.5,0.5,1.0,0.1214899520416868,48,M3_no_heal_bonus,6
0.9911595938024615,0.9910533084079544,0.002,499.0,0.5991983967935872,499.0,0.5,0.5,0.5,1.0,0.096735182772505,48,M5_no_brand_safety,6
0.9091753289152134,0.96364819872867,0.37,126.0,1.1047619047619048,315.0,0.5,0.5,0.5,1.0,0.1581234109805538,48,REF_baseline,6
0.977864432417088,0.978595154998712,0.006,198.8,0.5875251509054326,497.0,0.5406103286384977,0.9872890025575448,0.0484714285714285,20.368473380202808,0.1079392860463962,48,M4_full_no_decay,6
0.9900642792197863,0.989795246227924,0.006,198.8,0.5814889336016097,497.0,0.5,0.5,0.5,1.0,0.1155361191340223,49,M0_bridge_intercept,7
0.9952310005882894,0.9964616905667883,0.066,186.8,1.0492505353319057,467.0,0.5,0.5,0.5,1.0,0.1208646984553594,49,M1_heal_only,7
0.979390232178011,0.9962052460660408,0.226,154.8,1.0155038759689925,387.0,0.5,0.5,0.5,1.0,0.1561561450708737,49,M2_bridge_drop,7
0.979390232178011,0.9962052460660408,0.226,154.8,1.0155038759689925,387.0,0.5,0.5,0.5,1.0,0.1561561450708737,49,M3_no_heal_bonus,7
0.9900642792197863,0.989795246227924,0.006,497.0,0.5814889336016097,497.0,0.5,0.5,0.5,1.0,0.1155361191340223,49,M5_no_brand_safety,7
0.910755112480204,0.9965105862471816,0.41,118.0,0.8135593220338984,295.0,0.5,0.5,0.5,1.0,0.1961619585687382,49,REF_baseline,7
0.9909527984665732,0.9911220901780108,0.002,199.6,0.5531062124248497,499.0,0.5376123407109323,0.9861761006289308,0.0253535353535353,38.896985642336304,0.1171587013033063,49,M4_full_no_decay,7
0.992670405899538,0.992820786238144,0.004,199.2,0.536144578313253,498.0,0.5,0.5,0.5,1.0,0.0789957355770142,50,M0_bridge_intercept,8
0.9893445171481988,0.9902022434208534,0.068,186.4,0.9592274678111588,466.0,0.5,0.5,0.5,1.0,0.0854344630803421,50,M1_heal_only,8
