Polarization,Churn_Rate,Revenue,Avg_Frustration,Active_Users,Mean_Trust,Ingroup_Trust,Outgroup_Trust,Trust_Segregation,Opinion_Clustering,Seed,Topology,Bridge,Run
0.9906145720052312,0.006,198.8,0.5070422535211268,497.0,0.5,0.5,0.5,1.0,0.0954067746593774,46,ba,True,4
0.9971839852581044,0.366,126.8,0.3186119873817035,317.0,0.5,0.5,0.5,1.0,0.3777427269540834,46,watts_strogatz,False,4
0.968152305593184,0.394,121.2,0.8316831683168316,303.0,0.5,0.5,0.5,1.0,0.1133149848186733,47,ba,False,5
0.9915419280274334,0.0,200.0,0.524,500.0,0.5,0.5,0.5,1.0,0.2835039682539682,46,watts_strogatz,True,4
0.9944266502310908,0.0,200.0,0.64,500.0,0.5,0.5,0.5,1.0,0.093756720144668,47,ba,True,5
0.9672046244990992,0.39,122.0,0.5245901639344263,305.0,0.5,0.5,0.5,1.0,0.3208691126723914,47,watts_strogatz,False,5
0.9091753289152134,0.37,126.0,1.1047619047619048,315.0,0.5,0.5,0.5,1.0,0.1245980998487264,48,ba,False,6
0.9908241425053496,0.002,199.6,0.5490981963927856,499.0,0.5,0.5,0.5,1.0,0.254982186595413,47,watts_strogatz,True,5
0.9911595938024615,0.002,199.6,0.5991983967935872,499.0,0.5,0.5,0.5,1.0,0.096735182772505,48,ba,True,6
0.9851334855648786,0.336,132.8,0.466867469879518,332.0,0.5,0.5,0.5,1.0,0.400179288582903,48,watts_strogatz,False,6
0.910755112480204,0.41,118.0,0.8135593220338984,295.0,0.5,0.5,0.5,1.0,0.1650980296341581,49,ba,False,7
0.9886467287051895,0.002,199.6,0.5851703406813628,499.0,0.5,0.5,0.5,1.0,0.2995252409581067,48,watts_strogatz,True,6
0.9900642792197863,0.006,198.8,0.5814889336016097,497.0,0.5,0.5,0.5,1.0,0.1155361191340223,49,ba,True,7
0.9837675693584812,0.358,128.4,0.5482866043613707,321.0,0.5,0.5,0.5,1.0,0.3664120061316323,49,watts_strogatz,False,7
0.9859933820313956,0.368,126.4,1.1993670886075949,316.0,0.5,0.5,0.5,1.0,0.0935939488865411,50,ba,False,8
0.9918701173275248,0.0,200.0,0.582,500.0,0.5,0.5,0.5,1.0,0.2828555555555556,49,watts_strogatz,True,7
0.992670405899538,0.004,199.2,0.536144578313253,498.0,0.5,0.5,0.5,1.0,0.0789514617626092,50,ba,True,8
0.9787831844265832,0.366,126.8,0.3123028391167192,317.0,0.5,0.5,0.5,1.0,0.3499889612665637,50,watts_strogatz,False,8
0.98434034165053,0.4,120.0,0.94,300.0,0.5,0.5,0.5,1.0,0.0794214935762142,51,ba,False,9
0.9944041083390952,0.002,199.6,0.468937875751503,499.0,0.5,0.5,0.5,1.0,0.275916262539509,50,watts_strogatz,True,8
0.9891583108791874,0.396,120.8,0.4966887417218543,302.0,0.5,0.5,0.5,1.0,0.3173696520550825,51,watts_strogatz,False,9
0.9936902427298284,0.004,199.2,0.6004016064257028,498.0,0.5,0.5,0.5,1.0,0.0697502604792188,51,ba,True,9
0.9870049349254206,0.382,123.6,0.970873786407767,309.0,0.5,0.5,0.5,1.0,0.0939647041773015,52,ba,False,10
0.9954172164146352,0.002,199.6,0.5651302605210421,499.0,0.5,0.5,0.5,1.0,0.2395298533575086,51,watts_strogatz,True,9
0.992707327250108,0.002,199.6,0.6673346693386774,499.0,0.5,0.5,0.5,1.0,0.0784947477904169,52,ba,True,10
0.963950790344174,0.352,129.6,0.4537037037037037,324.0,0.5,0.5,0.5,1.0,0.3819395453654713,52,watts_strogatz,False,10
0.9928313489834836,0.408,118.4,1.0810810810810811,296.0,0.5,0.5,0.5,1.0,0.1424113342591603,53,ba,False,11
0.987168172305711,0.002,199.6,0.6052104208416834,499.0,0.5,0.5,0.5,1.0,0.2879831090752934,52,watts_strogatz,True,10
0.99500881701094,0.01,198.0,0.5535353535353535,495.0,0.5,0.5,0.5,1.0,0.089261816356678,53,ba,True,11
0.9764108972837288,0.362,127.6,0.6050156739811913,319.0,0.5,0.5,0.5,1.0,0.3311315121659949,53,watts_strogatz,False,11
0.9860777976999708,0.364,127.2,0.9528301886792452,318.0,0.5,0.5,0.5,1.0,0.0947993851577087,54,ba,False,12
