Step,Polarization,Revenue,Churn_Rate,Avg_Frustration,Active_Users,Run,Bridge
37,0.9913131044026589,64.0,0.2,3.56875,160,0,False
38,0.9939218124771128,63.2,0.21,3.5949367088607596,158,0,False
39,0.9940009817559224,62.800000000000004,0.215,3.554140127388535,157,0,False
40,0.9940681467200478,62.800000000000004,0.215,3.605095541401274,157,0,False
41,0.9941662475184503,61.6,0.23,3.4740259740259742,154,0,False
42,0.9930300365936516,60.400000000000006,0.245,3.3311258278145695,151,0,False
43,0.988217447516534,60.400000000000006,0.245,3.357615894039735,151,0,False
44,0.9928601417241397,60.0,0.25,3.4,150,0,False
45,0.9937518574328648,59.6,0.255,3.2751677852348995,149,0,False
46,0.9974526744242539,58.800000000000004,0.265,2.993197278911565,147,0,False
47,0.9980362147263115,58.800000000000004,0.265,3.020408163265306,147,0,False
48,0.9956219759789792,58.0,0.275,2.9379310344827587,145,0,False
49,0.9926386669267683,58.0,0.275,2.9448275862068964,145,0,False
50,0.9968163834845271,58.0,0.275,2.9655172413793105,145,0,False
51,0.9948178849744705,58.0,0.275,3.013793103448276,145,0,False
52,0.9893469624304488,57.6,0.28,2.923611111111111,144,0,False
53,0.9865240385055817,57.2,0.285,2.958041958041958,143,0,False
54,0.9914924232237193,56.800000000000004,0.29,2.8732394366197185,142,0,False
55,0.9939999919292749,56.400000000000006,0.295,2.8368794326241136,141,0,False
56,0.989980247101607,56.400000000000006,0.295,2.9645390070921986,141,0,False
57,0.9921926251258809,55.6,0.305,2.6906474820143886,139,0,False
58,0.9962455531906431,54.800000000000004,0.315,2.4817518248175183,137,0,False
59,0.9928317787734257,54.800000000000004,0.315,2.5255474452554743,137,0,False
60,0.9931770714053484,54.800000000000004,0.315,2.5693430656934306,137,0,False
61,0.9897861923772521,54.400000000000006,0.32,2.6323529411764706,136,0,False
62,0.9845892062493097,54.0,0.325,2.5703703703703704,135,0,False
63,0.9810834409182495,54.0,0.325,2.4444444444444446,135,0,False
64,0.9839354911670076,54.0,0.325,2.525925925925926,135,0,False
65,0.9841582020909087,53.6,0.33,2.3358208955223883,134,0,False
66,0.9901835622913905,53.2,0.335,2.300751879699248,133,0,False
67,0.9874186570490225,53.2,0.335,2.338345864661654,133,0,False
68,0.9892412946314756,52.800000000000004,0.34,2.287878787878788,132,0,False
69,0.9859927543344464,52.800000000000004,0.34,2.3257575757575757,132,0,False
70,0.9912733915774862,52.800000000000004,0.34,2.3257575757575757,132,0,False
71,0.9919346643327878,52.800000000000004,0.34,2.234848484848485,132,0,False
72,0.9960603106831801,52.800000000000004,0.34,2.2954545454545454,132,0,False
73,0.9961505203024583,52.800000000000004,0.34,2.25,132,0,False
74,0.9939507158240539,52.800000000000004,0.34,2.2954545454545454,132,0,False
75,0.9904405328819638,52.400000000000006,0.345,2.0916030534351147,131,0,False
76,0.9928670838168069,51.6,0.355,1.937984496124031,129,0,False
77,0.9920728342710174,51.6,0.355,2.0310077519379846,129,0,False
78,0.9885255456149682,51.6,0.355,2.10077519379845,129,0,False
79,0.9855231970820699,51.6,0.355,2.124031007751938,129,0,False
80,0.9929241664674718,51.6,0.355,2.116279069767442,129,0,False
81,0.9900708911798515,51.6,0.355,2.0775193798449614,129,0,False
82,0.9768501210535266,51.6,0.355,2.1782945736434107,129,0,False
83,0.9797782321567292,51.6,0.355,2.1550387596899223,129,0,False
84,0.9851896672575468,51.6,0.355,2.0930232558139537,129,0,False
85,0.9857588151811643,51.6,0.355,2.131782945736434,129,0,False
86,0.9923857855945218,51.6,0.355,2.131782945736434,129,0,False
87,0.9862124039787753,51.6,0.355,2.116279069767442,129,0,False
88,0.9905501983136361,51.6,0.355,2.201550387596899,129,0,False
89,0.9851803737560868,51.2,0.36,2.15625,128,0,False
90,0.988621756716055,51.2,0.36,2.203125,128,0,False
91,0.9925272794663477,50.800000000000004,0.365,2.1968503937007875,127,0,False
92,0.9872807783116968,50.0,0.375,2.04,125,0,False
93,0.9891922133464778,50.0,0.375,2.048,125,0,False
